eID,ra_e,dec_e,mean_xmmra,mean_xmmdec,number of xmm positions,ra_gaia,dec_gaia,sep_gaia2xmm,Plx,e_Plx,PM,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
86.0,263.16299704115835,-31.964816865270574,263.1634313560806,-31.96613002009451,2.0,263.16371997534,-31.96613817639,0.8819610526989179,3.7305,0.01759999990463257,14.762,0.019999999552965164,0.014999999664723873,12.951126,13.476499,12.26746
88.0,263.8946987545533,-33.368117530319765,263.8953979096782,-33.36806161163277,1.0,263.89537279476,-33.36836178013,1.0832415499005648,3.5079,0.10809999704360962,12.156,0.11500000208616257,0.08299999684095383,10.445522,10.921576,9.793092
90.0,262.7408026924728,-33.51315810164109,262.7406679897712,-33.513726051937304,4.0,262.740694645,-33.51357090049,0.5642461567251025,1.298,0.027899999171495438,7.613,0.027000000700354576,0.017999999225139618,11.329752,12.289209,10.368943
91.0,261.37192772758897,-34.419945764404794,261.37242755977906,-34.42111532511426,1.0,261.37152916743,-34.42101431988,2.6925857262456603,0.5523,0.02160000056028366,2.745,0.02500000037252903,0.01899999938905239,11.104633,12.221007,10.056491
92.0,263.9355381156476,-31.823334241135147,263.93643090651545,-31.824413664211843,1.0,263.93687520121,-31.82403130757,1.9343283482620681,7.0632,0.027499999850988388,7.942,0.028999999165534973,0.020999999716877937,10.055968,10.361782,9.587813
94.0,264.51154901716023,-31.847253569601055,264.51048473873465,-31.847385860352194,2.0,264.51093033856,-31.84736698684,1.3643567513632364,2.3584,0.04859999939799309,7.456,0.057999998331069946,0.041999999433755875,9.961391,10.136646,9.646399
95.0,262.4372378466261,-33.841555088403965,262.438254271444,-33.84149184325287,5.0,262.43857125792,-33.84181918371,1.5122977621978284,-0.0799,0.1315000057220459,2.818,0.15000000596046448,0.10599999874830246,14.698197,18.102673,13.037613
99.0,262.807807242967,-32.36706161215921,262.8077421273727,-32.368423634836184,1.0,262.80717912673,-32.36797603504,2.350965799748363,-0.2942,1.842900037765503,3.039,2.5880000591278076,1.2269999980926514,20.674469,21.061737,19.159906
100.0,264.438323433695,-32.586549129895545,264.43768000367254,-32.58521807268631,2.0,264.43793758178,-32.58560777933,1.6058357806893224,2.2237,0.016899999231100082,5.915,0.02199999988079071,0.014999999664723873,13.018434,13.502601,12.37519
101.0,264.3449239656703,-33.03918529781738,264.34641047446894,-33.03984764221057,2.0,264.34586242345,-33.03950325171,2.0670346156070813,4.601,0.020099999383091927,15.803,0.02500000037252903,0.017000000923871994,11.534282,11.956399,10.951969
102.0,262.6510438155361,-33.53840526161838,262.6534202464097,-33.53992379330034,3.0,262.65341440746,-33.53978009411,0.5176136886683951,1.4576,0.0771000012755394,9.049,0.09300000220537186,0.061000000685453415,15.086829,15.764191,14.279243
103.0,264.55701257721984,-31.91138879184206,264.55663973209494,-31.91004303101384,2.0,264.55693336598,-31.9101183687,0.937425695159039,2.4596,0.16609999537467957,12.527,0.18799999356269836,0.13300000131130219,13.171619,13.695126,12.421629
104.0,264.5987948113596,-32.010840115259185,264.5982574423664,-32.00855244600266,2.0,264.59855120161,-32.00867229093,0.9951438125111786,16.5118,0.01810000091791153,37.973,0.017999999225139618,0.014000000432133675,9.279287,9.659984,8.732647
106.0,263.7717069947965,-32.576353584223995,263.77270094149463,-32.574744467098846,1.0,263.77308301673,-32.57422254843,2.2076688892316185,0.5959,0.08100000023841858,3.234,0.08299999684095383,0.06499999761581421,14.17513,14.715811,13.397715
107.0,264.06403881634355,-32.19299271289072,264.0634816568026,-32.19264981916651,1.0,264.06348747491,-32.19254412279,0.3809195753381261,1.0014,0.033399999141693115,5.814,0.0430000014603138,0.028999999165534973,15.451022,15.949549,14.785399
109.0,263.69842082448804,-32.5730928512862,263.6996984389994,-32.573065614659484,1.0,263.6998066866,-32.57271432662,1.3065796375223493,0.9181,0.022199999541044235,3.362,0.023000000044703484,0.01899999938905239,13.458065,14.037997,12.722339
110.0,264.5680316772635,-32.37407617014911,264.5677573567124,-32.3754421192305,2.0,264.56820242796,-32.37540845457,1.358614197424274,2.1697,0.02290000021457672,5.928,0.02500000037252903,0.017000000923871994,13.700277,14.196523,13.034597
111.0,264.36650572307605,-31.515304867833823,264.3671670793284,-31.515928727808465,2.0,264.36703933471,-31.51568691878,0.9547211023842381,0.7086,0.02419999986886978,4.648,0.027000000700354576,0.019999999552965164,12.503693,14.092985,11.295002
112.0,263.75096073471275,-33.61427669205925,263.7482872952054,-33.61474404338422,1.0,263.74795303963,-33.61419168541,2.2267233979273495,nan,nan,nan,nan,nan,19.72677,nan,nan
113.0,263.5594117772814,-31.74751394273691,263.55808009499975,-31.747195214025727,1.0,263.55824053835,-31.74719108579,0.49139977005914504,nan,nan,nan,nan,nan,20.59406,nan,18.807508
114.0,263.14325874935156,-32.95373893766182,263.14071042493663,-32.95414650817642,3.0,263.14052646484,-32.95427141895,0.7148544109435271,0.8907,0.025100000202655792,2.903,0.032999999821186066,0.02199999988079071,14.605124,15.22562,13.829731
117.0,263.94249280742736,-32.118362400956464,263.942548089313,-32.119192019033484,1.0,263.94281790833,-32.11941111765,1.1397066893801453,0.8692,0.030400000512599945,4.546,0.039000000804662704,0.026000000536441803,14.982109,15.119446,14.688935
119.0,261.50213524055135,-34.29279492945329,261.50355425217384,-34.29373524403568,1.0,261.50372138313,-34.29440540882,2.4632680443448924,0.2482,0.20559999346733093,2.593,0.25600001215934753,0.17499999701976776,18.292877,20.421793,16.843288
120.0,262.8980542575827,-33.32864290129754,262.899561450648,-33.328949429595816,1.0,262.89917040131,-33.32903204142,1.2132551442577042,1.5647,0.04089999943971634,10.217,0.04500000178813934,0.032999999821186066,15.658366,16.525133,14.734284
122.0,262.62739182264977,-34.538558393556585,262.6275952058106,-34.538925926635855,5.0,262.62774038053,-34.5390497473,0.6197067410412487,2.5845,0.030700000002980232,10.554,0.035999998450279236,0.026000000536441803,7.601333,8.190199,6.841613
123.0,261.99828674355547,-36.126226850020444,261.9978875556797,-36.1266341919758,3.0,261.99832412292,-36.12625865566,1.8545088537222283,7.7193,0.06069999933242798,31.825,0.0689999982714653,0.04699999839067459,11.567409,12.290845,10.735897
125.0,261.9383191828755,-35.840007416718215,261.93787213139103,-35.83957119746329,3.0,261.93843447991,-35.83960789438,1.6464519554011574,0.5689,0.020999999716877937,1.939,0.02199999988079071,0.01600000075995922,9.340766,10.14971,8.439547
126.0,262.83494186607606,-35.14477857234147,262.8349975429486,-35.14504328869199,1.0,262.83510435505,-35.14535193309,1.1547507585766368,2.0456,0.022299999371170998,2.157,0.02199999988079071,0.01600000075995922,10.469942,10.981627,9.794352
127.0,262.62265338454927,-35.107707437558474,262.62348150131936,-35.10788096061599,1.0,262.62418295688,-35.10825046923,2.4570565180455803,1.2618,0.026100000366568565,8.542,0.03099999949336052,0.02199999988079071,14.854185,15.36986,14.167085
129.0,266.67216165101877,-32.23483478597769,266.6702983503324,-32.234116032789274,1.0,266.67024437379,-32.23477859909,2.3908951929370224,0.4403,0.2619999945163727,2.27,0.2770000100135803,0.16500000655651093,18.886877,19.994406,16.870506
130.0,266.5983575600858,-31.583938524766968,266.598677599627,-31.58346778451298,1.0,266.59869251214,-31.58346984581,0.04633124330701275,7.5468,0.016300000250339508,29.184,0.01899999938905239,0.009999999776482582,12.001725,12.800377,11.122634
132.0,264.9180130019542,-32.23849357421511,264.9184322415949,-32.23858676759856,2.0,264.91851607955,-32.23849352187,0.42172927987312403,2.1632,0.026100000366568565,5.99,0.02800000086426735,0.017000000923871994,12.778412,13.243119,12.146081
135.0,264.80247348995033,-31.78209641609473,264.80315169184337,-31.781273336009107,2.0,264.80367129953,-31.78121481675,1.6040160813060016,2.1462,0.015399999916553497,5.783,0.017000000923871994,0.012000000104308128,12.663576,13.018024,12.137431
137.0,265.05006655464484,-32.268335726014975,265.0509560236751,-32.26832372560442,2.0,265.05100890351,-32.26841889919,0.37855253235284464,2.1488,0.027799999341368675,7.168,0.028999999165534973,0.017999999225139618,13.418006,13.854752,12.80759
138.0,265.1333758503423,-32.33550071665905,265.13532970078154,-32.335864576579326,2.0,265.13554204564,-32.33569879698,0.8794101889783963,2.1411,0.2345999926328659,5.832,0.24500000476837158,0.13899999856948853,13.727479,14.325664,12.930556
143.0,264.90018715387123,-32.207339319884674,264.8976563530056,-32.207479639326245,2.0,264.89780115985,-32.20748532972,0.441563587239603,1.8548,0.07360000163316727,6.255,0.07999999821186066,0.05700000002980232,13.718622,14.270374,13.001781
144.0,265.09932602774677,-32.352765439856185,265.09802124486555,-32.35369412814903,2.0,265.09798152314,-32.35357390879,0.44933217212578996,2.1833,0.02449999935925007,4.924,0.02800000086426735,0.01600000075995922,12.04943,12.403713,11.517378
